wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
11951,26-Feb-13,16-Mar-15,16-Mar-15,3,16,2015,,,748,748,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,M,,2.928767123,1069,,,,2014-15,
11952,22-Mar-13,8-Sep-15,8-Sep-15,9,8,2015,,,900,900,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,M,,3.410958904,1245,,,,2014-15,
11953,26-Feb-13,18-May-18,18-May-18,5,18,2018,,,1907,1907,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,6.104109589,2228,,,,2017-18,
11954,7-Feb-13,18-Jun-15,18-Jun-15,6,18,2015,,,861,861,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,M,,3.18630137,1163,,,,2014-15,
11958,28-Feb-13,12-Oct-19,12-Oct-19,10,12,2019,,,2417,2417,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,1,M,,7.506849315,2740,,,,2019-20,
11959,6-Jan-13,23-Apr-16,23-Apr-16,4,23,2016,,,1203,1203,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,M,,4.030136986,1471,,,,2015-16,
11963,3-Dec-12,,1-Mar-20,3,1,2020,1-Mar-20,2645,,2645,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,M,,,,2879,,,2019-20,
11966,27-Dec-12,4-Sep-16,4-Sep-16,9,4,2016,,,1347,1347,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,4.397260274,1605,,,,2015-16,
11967,6-Dec-12,1-Jul-13,1-Jul-13,7,1,2013,,,207,207,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,M,,1.216438356,444,,,,2012-13,
11985,16-Jan-13,8-Dec-19,8-Dec-19,12,8,2019,,,2517,2517,poached,2,1,,,0,poached,1,0,0,0,0,foulplay,1,1,2,2,1,F,,7.638356164,2788,,,,2019-20,
11993,25-Jun-14,30-Jun-14,30-Jun-14,6,30,2014,,,5,5,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,F,,1.191780822,435,,,,2013-14,
12017,6-Jan-14,2-Jan-18,2-Jan-18,1,2,2018,,,1457,1457,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,F,,4.723287671,1724,,,,2017-18,
12019,10-Feb-14,8-Nov-16,8-Nov-16,11,8,2016,,,1002,1002,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,1,F,,3.564383562,1301,,,,2016-17,
